mode,epoch,global step,loss,caption generation loss,image selection loss,accuracy
train,0,32,15.2892,3.1522,12.137,6.25
train,0,64,13.9949,2.8057,11.1892,5.6641
train,0,96,13.8736,2.7564,11.1172,6.0547
train,0,128,13.7859,2.6958,11.0901,6.4453
train,0,160,13.7421,2.6143,11.1278,5.8594
train,0,192,13.6526,2.5564,11.0962,5.8594
train,0,224,13.559,2.4673,11.0917,5.2734
train,0,256,13.57,2.4724,11.0976,5.0781
train,0,288,13.5371,2.429,11.1081,5.4688
train,0,320,13.5098,2.4074,11.1024,7.0312
train,0,352,13.5144,2.4117,11.1027,6.25
train,0,384,13.4213,2.3356,11.0858,7.2266
train,0,416,13.4711,2.3741,11.097,5.0781
train,0,448,13.4865,2.3858,11.1008,6.8359
train,0,480,13.4266,2.3229,11.1037,5.6641
train,0,512,13.4427,2.3461,11.0966,8.3984
validation,0,512,13.344,2.2513,11.0927,5.8107
train,0,544,13.4638,2.3582,11.1056,4.4922
train,0,576,13.3007,2.1928,11.1079,5.2734
train,0,608,13.3061,2.2357,11.0704,8.0078
train,0,640,13.3762,2.2402,11.136,4.8828
train,0,672,13.4088,2.2887,11.1201,4.8828
train,0,704,13.276,2.202,11.074,8.3984
train,0,736,12.8127,2.2781,10.5346,12.8906
train,0,768,11.4048,2.2412,9.1636,21.2891
train,0,800,10.1559,2.2332,7.9227,34.5703
train,0,832,9.2436,2.2247,7.0189,40.625
train,0,864,8.5766,2.3405,6.2361,43.9453
train,0,896,8.6913,2.202,6.4893,43.9453
train,0,928,8.0285,2.2678,5.7607,54.2969
train,0,960,7.3881,2.2304,5.1577,57.4219
train,0,992,7.3223,2.1647,5.1575,54.4922
train,0,1024,7.1231,2.2076,4.9155,60.3516
validation,0,1024,6.8513,2.155,4.6962,60.3914
train,0,1056,6.7168,2.1391,4.5777,60.7422
train,0,1088,6.7159,2.1899,4.526,63.0859
train,0,1120,6.3429,2.1352,4.2076,64.0625
train,0,1152,6.1664,2.1728,3.9936,67.1875
train,0,1184,6.3464,2.1592,4.1872,65.2344
train,0,1216,5.64,2.1345,3.5055,69.1406
train,0,1248,5.8865,2.1588,3.7277,69.7266
train,0,1280,6.016,2.168,3.8481,67.7734
train,0,1312,5.8313,2.1027,3.7286,67.9688
train,0,1344,5.3997,2.2039,3.1959,72.8516
train,0,1376,5.8777,2.2319,3.6457,67.7734
train,0,1408,5.7075,2.1812,3.5263,69.5312
train,0,1440,5.7227,2.1182,3.6045,71.875
train,0,1472,5.6633,2.1229,3.5405,69.1406
train,0,1504,5.4218,2.1043,3.3175,72.4609
train,0,1536,5.0735,2.1819,2.8916,74.6094
validation,0,1536,5.3617,2.0913,3.2704,72.4321
train,0,1568,5.1968,2.1382,3.0586,72.8516
train,0,1600,5.2106,2.0969,3.1137,74.6094
train,0,1632,5.3436,2.1625,3.1811,74.0234
train,0,1664,4.9811,2.1644,2.8167,76.1719
train,0,1696,4.8545,2.0941,2.7605,76.3672
train,0,1728,5.1722,2.0443,3.1279,73.6328
train,0,1760,4.9758,2.0779,2.8979,74.6094
train,0,1792,5.1272,2.1251,3.002,72.8516
train,0,1824,5.0967,2.0863,3.0104,72.8516
train,0,1856,5.0715,2.0957,2.9758,73.2422
train,0,1888,5.095,2.0892,3.0058,74.2188
train,0,1920,4.9608,2.0582,2.9026,76.9531
train,0,1952,4.9419,2.1021,2.8398,77.1484
train,0,1984,4.9701,2.0762,2.8939,75.3906
train,0,2016,4.7838,2.076,2.7079,75.7812
train,0,2048,4.8811,2.0434,2.8376,73.6328
validation,0,2048,4.9154,2.0543,2.8611,75.4673
