mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,2.0554,42.9688,20.1302,1.7232,0.3321
train,0,64,1.2839,62.7604,21.0208,0.991,0.2929
train,0,96,1.1217,70.8333,24.5026,0.8477,0.274
train,0,128,1.0156,70.5729,25.1901,0.7627,0.2529
train,0,160,0.9334,73.4375,25.1589,0.6836,0.2498
train,0,192,0.8452,77.8646,25.0964,0.5993,0.246
train,0,224,0.7813,82.8125,26.3906,0.5496,0.2317
train,0,256,0.7585,82.0312,25.6484,0.5329,0.2256
validation,0,256,0.8508,74.7396,25.8568,0.658,0.1928
train,0,288,0.797,78.9062,26.2969,0.5734,0.2237
train,0,320,0.7333,80.7292,28.2786,0.5153,0.218
train,0,352,0.7854,79.6875,28.0677,0.5692,0.2162
train,0,384,0.7337,84.6354,27.0443,0.5197,0.214
train,0,416,0.6921,82.5521,28.1458,0.4821,0.21
train,0,448,0.6971,82.5521,27.9635,0.4894,0.2077
train,0,480,0.7142,81.25,27.6979,0.5144,0.1997
train,0,512,0.6531,82.5521,27.2734,0.4509,0.2022
validation,0,512,0.5695,86.7188,27.3047,0.4052,0.1643
train,0,544,0.6524,84.1146,28.0417,0.4584,0.1939
train,0,576,0.6721,82.2917,28.5859,0.4807,0.1914
train,0,608,0.7276,80.7292,28.2865,0.5291,0.1985
train,0,640,0.6186,84.375,28.9089,0.4209,0.1977
train,0,672,0.6331,83.3333,27.3073,0.4313,0.2017
train,0,704,0.6232,86.7188,27.5339,0.4261,0.197
train,0,736,0.5785,87.2396,26.6953,0.3846,0.1939
train,0,768,0.6165,85.4167,27.3438,0.4262,0.1903
validation,0,768,0.613,85.9375,27.0,0.4515,0.1615
train,0,800,0.5523,88.0208,27.4349,0.3635,0.1888
train,0,832,0.6421,83.8542,27.2552,0.4562,0.1859
train,0,864,0.6198,84.6354,27.4714,0.4325,0.1873
train,0,896,0.629,83.0729,26.9115,0.44,0.189
train,0,928,0.5837,85.6771,26.5495,0.3916,0.1921
train,0,960,0.5807,86.4583,27.3516,0.3926,0.188
train,0,992,0.6031,84.6354,27.3151,0.4186,0.1845
train,0,1024,0.5858,85.4167,27.1641,0.395,0.1907
validation,0,1024,0.5353,86.7188,27.2292,0.3757,0.1596
train,0,1056,0.5575,85.6771,27.151,0.3709,0.1865
train,0,1088,0.5459,86.1979,26.3151,0.3607,0.1852
train,0,1120,0.559,86.9792,27.9635,0.3783,0.1807
train,0,1152,0.66,82.8125,27.2083,0.4762,0.1838
train,0,1184,0.5776,86.1979,27.6719,0.3878,0.1898
train,0,1216,0.4729,89.5833,27.5365,0.2908,0.1821
train,0,1248,0.5318,86.7188,26.6276,0.3517,0.1801
train,0,1280,0.5402,87.5,28.0026,0.3644,0.1757
validation,0,1280,0.4933,88.5417,27.6406,0.3468,0.1464
train,0,1312,0.5413,87.7604,28.3385,0.367,0.1743
train,0,1344,0.4967,88.0208,28.513,0.3195,0.1772
train,0,1376,0.5612,83.5938,27.7266,0.3853,0.1759
train,0,1408,0.5039,89.0625,27.6562,0.3225,0.1814
train,0,1440,0.5663,85.4167,26.7682,0.3875,0.1788
train,0,1472,0.5585,85.9375,27.9271,0.3835,0.175
train,0,1504,0.5388,87.2396,27.2292,0.3619,0.1769
train,0,1536,0.536,88.0208,27.8047,0.3603,0.1758
validation,0,1536,0.4911,88.0208,27.5,0.3462,0.1448
train,0,1568,0.5488,86.7188,27.5443,0.3749,0.1739
train,0,1600,0.582,84.6354,27.2031,0.4049,0.177
train,0,1632,0.5754,85.6771,27.1979,0.3973,0.1781
train,0,1664,0.5162,86.7188,27.5911,0.3354,0.1807
train,0,1696,0.5529,86.9792,26.9427,0.3759,0.1771
train,0,1728,0.5289,90.625,26.8047,0.352,0.1769
train,0,1760,0.5456,86.4583,26.3307,0.3692,0.1763
train,0,1792,0.4936,89.8438,26.8984,0.3177,0.1758
validation,0,1792,0.4463,87.5,27.237,0.3041,0.1422
train,0,1824,0.5635,86.4583,27.0651,0.3897,0.1738
train,0,1856,0.5296,88.5417,27.1094,0.355,0.1746
train,0,1888,0.5053,87.2396,27.4062,0.3319,0.1734
train,0,1920,0.5124,88.2812,27.9401,0.338,0.1744
train,0,1952,0.4919,88.8021,27.1823,0.317,0.175
train,0,1984,0.511,87.7604,27.1771,0.3355,0.1755
train,0,2016,0.5076,89.0625,27.5078,0.3351,0.1725
train,0,2048,0.5477,86.7188,27.2318,0.3764,0.1713
validation,0,2048,0.4789,86.9792,26.7474,0.334,0.1449
