mode,epoch,global step,loss,accuracy,mean_length,communication loss,lm loss
train,0,32,3.2818,27.8646,7.388,2.6258,0.6559
train,0,64,3.6126,18.75,5.4245,3.1252,0.4874
train,0,96,3.7543,9.1146,4.7292,3.3155,0.4388
train,0,128,3.4126,9.6354,6.1615,3.0336,0.379
train,0,160,3.1775,10.1562,7.5755,2.8477,0.3298
train,0,192,2.9757,13.5417,9.5573,2.6779,0.2978
train,0,224,2.7902,18.4896,12.0026,2.5276,0.2626
train,0,256,2.6137,24.4792,14.3516,2.3646,0.249
validation,0,256,2.4555,30.0781,14.6654,2.1855,0.27
train,0,288,2.541,22.3958,16.1458,2.3008,0.2402
train,0,320,2.5375,23.1771,18.3333,2.3056,0.2319
train,0,352,2.4382,27.8646,18.7812,2.2174,0.2209
train,0,384,2.2529,34.8958,20.8203,2.0273,0.2256
train,0,416,2.0309,40.625,23.8646,1.7908,0.2401
train,0,448,1.6616,52.6042,27.6719,1.431,0.2307
train,0,480,1.7859,47.6562,26.6745,1.559,0.2269
train,0,512,1.5498,58.0729,27.862,1.3273,0.2224
validation,0,512,1.4396,60.8073,27.0143,1.2062,0.2334
train,0,544,1.5384,56.5104,28.2656,1.3162,0.2222
train,0,576,1.6155,50.2604,28.2005,1.3932,0.2223
train,0,608,1.5362,53.6458,28.1953,1.3233,0.2129
train,0,640,1.5357,54.6875,28.5182,1.3215,0.2142
train,0,672,1.5719,54.4271,27.3854,1.3656,0.2063
train,0,704,1.472,59.8958,28.5677,1.2665,0.2054
train,0,736,1.4561,57.5521,28.0729,1.2484,0.2077
train,0,768,1.5435,54.9479,28.4453,1.3386,0.2049
validation,0,768,1.3489,61.0677,28.0326,1.141,0.208
train,0,800,1.4672,56.25,27.513,1.2646,0.2026
train,0,832,1.5306,55.9896,27.9453,1.3337,0.1969
train,0,864,1.4245,60.4167,27.638,1.2273,0.1972
train,0,896,1.3758,58.8542,28.3776,1.1806,0.1952
train,0,928,1.4188,59.375,28.3854,1.2247,0.1941
train,0,960,1.4344,55.2083,28.401,1.2444,0.19
train,0,992,1.4514,57.0312,28.4193,1.2658,0.1856
train,0,1024,1.3775,61.7188,28.0859,1.1883,0.1892
validation,0,1024,1.3414,61.0677,28.2604,1.1534,0.188
train,0,1056,1.4384,55.9896,28.4661,1.2496,0.1888
train,0,1088,1.3933,59.375,29.0182,1.2087,0.1846
train,0,1120,1.369,58.8542,29.263,1.1837,0.1854
train,0,1152,1.3219,61.7188,28.5,1.1353,0.1867
train,0,1184,1.397,60.4167,28.7812,1.2107,0.1863
train,0,1216,1.2958,62.5,28.638,1.1098,0.186
train,0,1248,1.3256,61.1979,28.9271,1.1414,0.1842
train,0,1280,1.4355,57.2917,29.5391,1.2534,0.1821
validation,0,1280,1.3132,61.9792,28.8424,1.1341,0.1791
train,0,1312,1.3625,62.5,28.9375,1.1831,0.1794
train,0,1344,1.4373,55.7292,28.9948,1.2579,0.1794
train,0,1376,1.5266,55.9896,28.1432,1.3423,0.1843
train,0,1408,1.3686,58.5938,29.2917,1.1864,0.1822
train,0,1440,1.2729,61.7188,28.9583,1.09,0.1829
train,0,1472,1.2778,61.7188,29.2396,1.0965,0.1813
train,0,1504,1.3557,59.6354,29.1615,1.1759,0.1799
train,0,1536,1.2358,65.1042,28.724,1.0553,0.1805
validation,0,1536,1.2418,62.1094,29.1211,1.064,0.1777
train,0,1568,1.319,58.5938,29.2474,1.1391,0.1799
train,0,1600,1.3472,58.3333,28.4766,1.166,0.1811
train,0,1632,1.339,61.7188,29.3854,1.1605,0.1785
train,0,1664,1.34,59.6354,29.638,1.1627,0.1772
train,0,1696,1.3297,62.5,29.013,1.1514,0.1783
train,0,1728,1.3454,60.1562,28.9635,1.1674,0.178
train,0,1760,1.3563,59.6354,29.474,1.1812,0.1751
train,0,1792,1.3372,60.9375,28.8099,1.1608,0.1764
validation,0,1792,1.2205,64.5833,28.8385,1.0477,0.1728
train,0,1824,1.3576,63.5417,28.3984,1.1808,0.1768
train,0,1856,1.4463,55.4688,28.901,1.269,0.1772
train,0,1888,1.3178,59.8958,28.888,1.1418,0.176
train,0,1920,1.394,59.8958,28.6589,1.2151,0.1789
train,0,1952,1.3224,63.5417,29.4479,1.1479,0.1746
train,0,1984,1.4149,58.3333,28.9661,1.2383,0.1766
train,0,2016,1.4003,59.8958,28.5417,1.2246,0.1757
train,0,2048,1.409,59.8958,28.6276,1.2329,0.176
validation,0,2048,1.2294,64.4531,29.0938,1.0579,0.1716
