epoch,global step,mode,loss,accuracy,mean_length
0,0,train,2.743,12.5,36.25
0,0,validation,2.7588,12.7,48.111
0,10,train,2.4315,14.4737,47.7566
0,10,train,2.1575,25.0,61.25
0,20,train,2.2358,10.5263,60.5329
0,20,train,1.8603,25.0,60.875
0,30,train,2.1118,11.8421,62.2368
0,30,train,2.1264,0.0,64
0,40,train,2.1081,12.5,63.4474
0,40,train,2.0952,12.5,57.625
0,50,train,2.0945,11.1842,63.3289
0,50,train,2.0774,12.5,64
0,60,train,2.086,13.8158,64
0,60,train,2.0967,0.0,64
0,70,train,2.069,13.1579,63.3947
0,70,train,2.1361,12.5,64
0,80,train,2.0694,15.1316,62.3816
0,80,train,2.0516,12.5,64
0,90,train,2.0976,13.1579,63.6184
0,90,train,1.9975,37.5,57.875
0,100,train,2.051,13.1579,62.9671
0,100,train,2.1616,0.0,64
0,110,train,2.0526,17.1053,63.5197
0,110,train,1.9079,37.5,64
0,120,train,2.0646,12.5,63.25
0,120,train,2.028,25.0,54.375
0,130,train,2.0272,11.8421,57.4474
0,130,train,2.0756,12.5,64
0,140,train,2.0224,13.8158,62.5197
0,140,train,2.0427,12.5,64
0,150,train,2.0321,9.8684,63.4408
0,150,train,2.0916,0.0,64
0,160,train,1.9973,15.7895,64
0,160,train,1.9311,12.5,64
0,170,train,2.1055,13.8158,63.6447
0,170,train,1.9495,50.0,64
0,180,train,2.0894,15.1316,64
0,180,train,2.0573,12.5,64
0,190,train,2.0979,11.8421,64
0,190,train,2.0881,0.0,64
0,200,train,2.0915,10.5263,64
0,200,train,2.1913,0.0,64
0,210,train,2.07,15.1316,64
0,210,train,2.0884,0.0,64
0,220,train,2.0613,11.1842,64
0,220,train,2.044,25.0,64
0,230,train,2.1241,13.1579,64
0,230,train,2.2296,12.5,64
0,240,train,2.2229,11.1842,64
0,240,train,2.3403,12.5,64
0,250,train,2.1725,9.2105,64
0,250,train,1.9083,37.5,64
0,260,train,2.1304,12.5,64
0,260,train,2.0479,12.5,64
0,270,train,2.156,7.8947,64
0,270,train,2.3284,0.0,64
0,280,train,2.1429,11.8421,64
0,280,train,2.1652,12.5,64
0,290,train,2.121,15.7895,64
0,290,train,2.2495,12.5,64
0,300,train,2.1346,8.5526,64
0,300,train,2.0015,37.5,64
0,310,train,2.1127,15.1316,64
0,310,train,2.1908,0.0,64
0,320,train,2.1385,13.8158,64
0,320,train,1.984,25.0,64
0,330,train,2.093,13.1579,64
0,330,train,2.0696,25.0,64
0,340,train,2.0938,17.1053,64
0,340,train,2.14,25.0,64
0,350,train,2.0929,11.8421,64
0,350,train,2.1245,0.0,64
0,360,train,2.0742,18.4211,64
0,360,train,2.1783,0.0,64
0,370,train,2.1148,9.8684,64
0,370,train,2.0058,37.5,64
0,380,train,2.1089,12.5,64
0,380,train,2.0715,25.0,64
0,390,train,2.0874,13.1579,64
0,390,train,2.1305,37.5,64
0,400,train,2.0826,11.1842,64
0,400,train,2.0662,37.5,64
0,410,train,2.0785,12.5,64
0,410,train,2.2117,0.0,64
0,420,train,2.1075,11.8421,64
0,420,train,2.0807,12.5,64
0,430,train,2.0721,17.1053,64
0,430,train,2.2142,0.0,64
0,440,train,2.1083,11.1842,64
0,440,train,2.0408,12.5,64
0,450,train,2.0988,13.1579,64
0,450,train,2.1731,0.0,64
0,460,train,2.0923,12.5,64
0,460,train,2.1086,12.5,64
0,470,train,2.1264,10.5263,64
0,470,train,1.9913,37.5,64
0,480,train,2.096,9.8684,64
0,480,train,2.1714,0.0,64
0,490,train,2.0864,13.8158,64
0,490,train,1.9626,25.0,64
0,500,train,2.1005,12.5,64
0,500,train,2.1074,25.0,64
0,510,train,2.0959,13.1579,64
0,510,train,2.0828,25.0,64
0,512,validation,2.0913,12.12,64
0,512,validation,2.0903,12.16,64
0,520,train,2.0911,13.1579,64
0,520,train,2.0257,25.0,64
