mode,epoch,global step,lr,loss
train,0,250,,6.0831
train,0,500,,5.4282
train,0,750,,5.1098
train,0,1000,,4.8893
train,0,1250,,4.7043
train,0,1500,,4.8246
train,0,1750,,4.6188
train,0,2000,,4.6322
train,0,2250,,4.4537
train,0,2500,,4.3868
train,0,2750,,4.3641
train,0,3000,,4.2973
train,0,3250,,4.1728
train,0,3500,,4.1613
train,0,3750,,4.1223
train,0,4000,,4.193
train,0,4250,,4.1299
train,0,4500,,4.5284
train,0,4750,,4.5178
train,0,5000,,4.1881
validation,0,5000,,3.8062
train,0,5250,,4.0837
train,0,5500,,4.0447
train,0,5750,,4.0423
train,0,6000,,4.0066
train,0,6250,,4.0502
train,0,6500,,4.0042
train,0,6750,,4.0024
train,0,7000,,4.01
train,0,7250,,4.103
train,0,7500,,4.5062
train,0,7750,,4.2776
train,0,8000,,4.1434
train,0,8250,,4.0135
train,0,8500,,4.0365
train,0,8750,,3.9646
train,0,9000,,3.9776
train,0,9250,,3.9421
train,0,9500,,3.8793
train,0,9750,,3.9363
train,0,10000,,3.9206
validation,0,10000,,3.6297
train,0,10250,,3.8793
train,0,10500,,3.8798
train,0,10750,,3.8513
train,0,11000,,3.8427
train,0,11250,,3.8708
train,0,11500,,3.8525
train,0,11750,,3.8388
train,0,12000,,3.8393
train,0,12250,,3.8215
train,0,12500,,3.8148
train,0,12750,,3.8017
train,0,13000,,3.7923
train,0,13250,,3.7825
train,0,13500,,3.8281
train,0,13750,,3.764
train,0,14000,,3.7722
train,0,14250,,3.7792
train,0,14500,,3.8148
train,0,14750,,3.7724
train,0,15000,,3.7967
validation,0,15000,,3.781
train,0,15250,,4.265
train,0,15500,,3.7852
train,0,15750,,3.8144
train,0,16000,,3.8131
train,0,16250,,3.8335
train,0,16500,,3.8417
train,0,16750,,3.8584
train,0,17000,,3.8291
train,0,17250,,3.8111
train,0,17500,,3.7832
train,0,17750,,3.764
train,0,18000,,3.7905
train,0,18250,,3.7972
train,0,18500,,3.7431
train,0,18750,,3.7434
train,0,19000,,3.7647
train,0,19250,,3.8527
train,0,19500,,3.7861
train,0,19750,,3.7758
train,0,20000,,3.7715
validation,0,20000,,3.5626
train,0,20250,,3.728
train,0,20500,,3.7218
train,0,20750,,3.745
train,0,21000,,3.7449
train,0,21250,,3.7014
train,0,21500,,3.7387
train,0,21750,,3.7247
train,0,22000,,3.796
train,0,22250,,3.7546
train,0,22500,,3.7307
train,0,22750,,3.7739
train,0,23000,,3.7424
train,0,23250,,3.7733
train,0,23500,,3.7222
train,0,23750,,3.6928
train,0,24000,,3.7396
train,0,24250,,3.7084
train,0,24500,,3.6899
train,0,24750,,3.6917
train,0,25000,,3.7317
validation,0,25000,,3.5406
train,0,25250,,3.6764
train,0,25500,,3.7292
train,0,25750,,3.6841
train,0,26000,,3.6825
train,0,26250,,3.683
train,0,26500,,3.6961
train,0,26750,,3.6872
train,0,27000,,3.6582
train,0,27250,,3.715
train,0,27500,,3.6872
train,0,27750,,3.6908
train,0,28000,,3.6916
train,0,28250,,3.6789
train,0,28500,,3.6555
train,0,28750,,3.7108
train,0,29000,,3.6994
train,0,29250,,3.6573
train,0,29500,,3.7241
train,0,29750,,3.676
train,0,30000,,3.6895
validation,0,30000,,3.53
train,0,30250,,3.681
train,0,30500,,3.6657
train,0,30750,,3.6693
train,0,31000,,3.6655
train,0,31250,,3.679
train,0,31500,,3.6868
train,0,31750,,3.6369
train,0,32000,,3.6283
train,0,32250,,3.6172
train,0,32500,,3.6829
train,0,32750,,3.6974
train,0,33000,,3.6864
train,0,33250,,3.6268
train,0,33500,,3.6637
train,0,33750,,3.6059
train,0,34000,,3.6314
train,0,34250,,3.6482
train,0,34500,,3.6703
train,0,34750,,3.6396
train,0,35000,,3.6115
validation,0,35000,,3.5126
train,0,35250,,3.6012
train,0,35500,,3.6794
train,0,35750,,3.6932
train,0,36000,,3.6566
train,0,36250,,3.6328
train,0,36500,,3.6534
train,0,36750,,3.6155
train,0,37000,,3.6508
train,0,37250,,3.6269
train,0,37500,,3.6398
train,0,37750,,3.6584
train,0,38000,,3.6657
train,0,38250,,3.6605
train,0,38500,,3.6431
train,0,38750,,3.6617
train,0,39000,,3.673
train,0,39250,,3.6351
train,0,39500,,3.657
train,0,39750,,3.6244
