03-10-21 21:54:54 - Dataset Loaded
03-10-21 21:54:54 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=64, beam_width=12, bidirectional=False, coco_path='./UMT_data/coco_new', config='Configs/mbart_wcons.yml', cpu=False, dataset='coco', decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, embedding_dim=1024, eval_mode=False, fix_bhd=False, fix_spk=False, grad_clip=1.0, hard=True, has_vocab_constraint=True, hidden_dim=512, image_dim=2048, l2='jp', loss_type='xent', lr=5e-07, max_global_step=30000, model_name='mbart', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, norm_pow=0.0, num_distractors_train=3, num_distractors_valid=3, num_games=30000, num_layers=1, output_dir='mbart_wcons', pretrain_spk=False, print_every=50, re_load=False, sample_how='gumbel', save_every=4000, save_pretrain_seperately=True, seed=42, seq_len=15, source_lang='en_XX', source_lang_vocab_constrain_file='./UMT_data/cc/en_europarl_count_dict.json', stop_after=30, target_acc=85.0, target_lang='ja_XX', target_lang_vocab_constrain_file='./UMT_data/cc/ja_smaller_count_dict.json', temp=1.0, temperature=1.0, translate_every=2000, two_ffwd=False, unit_norm=False, valid_batch_size=128, valid_every=500, vocab_size=4035)
Sharing visual system for each agent.
03-10-21 21:55:21 - IN    : 612951040 params
03-10-21 21:55:21 - OUT   : 0 params
03-10-21 21:55:21 - TOTAL : 612951040 params
03-10-21 21:56:33 - epoch     0 train | loss 1.6765| prediction accuracy 26.03%| average message length 15.0000 |
03-10-21 21:57:44 - epoch     0 train | loss 1.5669| prediction accuracy 24.66%| average message length 15.0000 |
03-10-21 21:58:55 - epoch     0 train | loss 1.4684| prediction accuracy 26.28%| average message length 15.0000 |
03-10-21 22:00:06 - epoch     0 train | loss 1.4468| prediction accuracy 24.47%| average message length 15.0000 |
03-10-21 22:01:17 - epoch     0 train | loss 1.4268| prediction accuracy 25.59%| average message length 15.0000 |
03-10-21 22:02:27 - epoch     0 train | loss 1.4105| prediction accuracy 24.97%| average message length 15.0000 |
03-10-21 22:03:38 - epoch     0 train | loss 1.4076| prediction accuracy 24.84%| average message length 15.0000 |
03-10-21 22:04:47 - epoch     0 train | loss 1.3993| prediction accuracy 26.09%| average message length 15.0000 |
03-10-21 22:05:57 - epoch     0 train | loss 1.3998| prediction accuracy 25.25%| average message length 15.0000 |
03-10-21 22:07:07 - epoch     0 train | loss 1.3958| prediction accuracy 25.31%| average message length 15.0000 |
03-10-21 22:08:30 - epoch   500 valid | loss 1.3902| prediction accuracy 25.48%| average message length 15.0000 |
03-10-21 22:09:40 - epoch     0 train | loss 1.3943| prediction accuracy 25.91%| average message length 15.0000 |
03-10-21 22:10:50 - epoch     0 train | loss 1.3892| prediction accuracy 25.94%| average message length 15.0000 |
03-10-21 22:12:00 - epoch     0 train | loss 1.3782| prediction accuracy 26.75%| average message length 15.0000 |
03-10-21 22:13:10 - epoch     0 train | loss 1.3669| prediction accuracy 26.81%| average message length 15.0000 |
