==========================================
SLURM_JOB_ID = 5634916
SLURM_JOB_NODELIST = d11-02
TMPDIR = /tmp/SLURM_5634916
==========================================
/home1/zliu9986/communication-translation
08-24-21 08:06:21 - Dataset Loaded
08-24-21 08:06:21 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=1, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=1e-05, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart-large-cc25', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad1_mbart_BTen+zh_lr1.0e-5_7distractors_maxstep8192_again', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-24-21 08:07:16 - epoch 0 | global step 10 | mode train | loss 2.6371 | accuracy 11.25 | mean_length 59.8
08-24-21 08:07:45 - epoch 0 | global step 20 | mode train | loss 2.709 | accuracy 13.75 | mean_length 63.2
08-24-21 08:08:14 - epoch 0 | global step 30 | mode train | loss 2.8621 | accuracy 11.25 | mean_length 63.3875
08-24-21 08:08:42 - epoch 0 | global step 40 | mode train | loss 2.3912 | accuracy 8.75 | mean_length 63.8375
08-24-21 08:09:11 - epoch 0 | global step 50 | mode train | loss 2.2028 | accuracy 21.25 | mean_length 64
08-24-21 08:09:40 - epoch 0 | global step 60 | mode train | loss 2.1502 | accuracy 8.75 | mean_length 64
08-24-21 08:10:08 - epoch 0 | global step 70 | mode train | loss 2.1178 | accuracy 10.0 | mean_length 64
08-24-21 08:10:36 - epoch 0 | global step 80 | mode train | loss 2.124 | accuracy 8.75 | mean_length 63.9375
08-24-21 08:11:05 - epoch 0 | global step 90 | mode train | loss 2.133 | accuracy 10.0 | mean_length 64
08-24-21 08:11:33 - epoch 0 | global step 100 | mode train | loss 2.1213 | accuracy 11.25 | mean_length 64
08-24-21 08:12:02 - epoch 0 | global step 110 | mode train | loss 2.0751 | accuracy 11.25 | mean_length 64
08-24-21 08:12:30 - epoch 0 | global step 120 | mode train | loss 2.0787 | accuracy 18.75 | mean_length 64
08-24-21 08:12:58 - epoch 0 | global step 130 | mode train | loss 2.0362 | accuracy 20.0 | mean_length 63.5
08-24-21 08:13:26 - epoch 0 | global step 140 | mode train | loss 2.083 | accuracy 10.0 | mean_length 64
08-24-21 08:13:55 - epoch 0 | global step 150 | mode train | loss 2.1097 | accuracy 11.25 | mean_length 63.6375
08-24-21 08:14:23 - epoch 0 | global step 160 | mode train | loss 2.0546 | accuracy 18.75 | mean_length 64
08-24-21 08:14:51 - epoch 0 | global step 170 | mode train | loss 2.1341 | accuracy 7.5 | mean_length 63.3
08-24-21 08:15:19 - epoch 0 | global step 180 | mode train | loss 2.0924 | accuracy 15.0 | mean_length 64
08-24-21 08:15:47 - epoch 0 | global step 190 | mode train | loss 2.0552 | accuracy 16.25 | mean_length 63.8375
08-24-21 08:16:15 - epoch 0 | global step 200 | mode train | loss 2.0761 | accuracy 17.5 | mean_length 64
08-24-21 08:16:43 - epoch 0 | global step 210 | mode train | loss 2.094 | accuracy 8.75 | mean_length 64
08-24-21 08:17:11 - epoch 0 | global step 220 | mode train | loss 2.0722 | accuracy 18.75 | mean_length 63.675
08-24-21 08:17:40 - epoch 0 | global step 230 | mode train | loss 2.0806 | accuracy 13.75 | mean_length 64
08-24-21 08:18:08 - epoch 0 | global step 240 | mode train | loss 2.0863 | accuracy 8.75 | mean_length 64
08-24-21 08:18:35 - epoch 0 | global step 250 | mode train | loss 2.0602 | accuracy 21.25 | mean_length 64
08-24-21 08:19:04 - epoch 0 | global step 260 | mode train | loss 2.0923 | accuracy 13.75 | mean_length 64
08-24-21 08:19:32 - epoch 0 | global step 270 | mode train | loss 2.0789 | accuracy 11.25 | mean_length 64
08-24-21 08:20:00 - epoch 0 | global step 280 | mode train | loss 2.0813 | accuracy 15.0 | mean_length 64
08-24-21 08:20:28 - epoch 0 | global step 290 | mode train | loss 2.0959 | accuracy 8.75 | mean_length 64
08-24-21 08:20:56 - epoch 0 | global step 300 | mode train | loss 2.0874 | accuracy 16.25 | mean_length 63.6
08-24-21 08:21:24 - epoch 0 | global step 310 | mode train | loss 2.0856 | accuracy 12.5 | mean_length 64
08-24-21 08:21:52 - epoch 0 | global step 320 | mode train | loss 2.0611 | accuracy 15.0 | mean_length 64
08-24-21 08:22:20 - epoch 0 | global step 330 | mode train | loss 2.0856 | accuracy 13.75 | mean_length 64
08-24-21 08:22:48 - epoch 0 | global step 340 | mode train | loss 2.1139 | accuracy 8.75 | mean_length 64
08-24-21 08:23:16 - epoch 0 | global step 350 | mode train | loss 2.0752 | accuracy 12.5 | mean_length 64
08-24-21 08:23:44 - epoch 0 | global step 360 | mode train | loss 2.0847 | accuracy 15.0 | mean_length 64
08-24-21 08:24:12 - epoch 0 | global step 370 | mode train | loss 2.113 | accuracy 3.75 | mean_length 64
08-24-21 08:24:40 - epoch 0 | global step 380 | mode train | loss 2.0828 | accuracy 20.0 | mean_length 64
08-24-21 08:25:08 - epoch 0 | global step 390 | mode train | loss 2.0926 | accuracy 7.5 | mean_length 64
08-24-21 08:25:36 - epoch 0 | global step 400 | mode train | loss 2.0827 | accuracy 10.0 | mean_length 64
08-24-21 08:26:04 - epoch 0 | global step 410 | mode train | loss 2.1004 | accuracy 12.5 | mean_length 64
08-24-21 08:26:33 - epoch 0 | global step 420 | mode train | loss 2.1058 | accuracy 11.25 | mean_length 64
08-24-21 08:27:01 - epoch 0 | global step 430 | mode train | loss 2.078 | accuracy 8.75 | mean_length 64
08-24-21 08:27:30 - epoch 0 | global step 440 | mode train | loss 2.0862 | accuracy 12.5 | mean_length 64
08-24-21 08:27:58 - epoch 0 | global step 450 | mode train | loss 2.0632 | accuracy 15.0 | mean_length 64
08-24-21 08:28:26 - epoch 0 | global step 460 | mode train | loss 2.0946 | accuracy 7.5 | mean_length 64
08-24-21 08:28:54 - epoch 0 | global step 470 | mode train | loss 2.0967 | accuracy 12.5 | mean_length 64
08-24-21 08:29:22 - epoch 0 | global step 480 | mode train | loss 2.08 | accuracy 8.75 | mean_length 64
08-24-21 08:29:50 - epoch 0 | global step 490 | mode train | loss 2.0785 | accuracy 13.75 | mean_length 64
08-24-21 08:30:19 - epoch 0 | global step 500 | mode train | loss 2.0908 | accuracy 3.75 | mean_length 64
08-24-21 08:30:47 - epoch 0 | global step 510 | mode train | loss 2.0584 | accuracy 12.5 | mean_length 64
08-24-21 08:40:45 - epoch 0 | global step 512 | mode validation | loss 2.0847 | accuracy 12.54 | mean_length 64
08-24-21 08:40:45 - Saving model to Output/accGrad1_mbart_BTen+zh_lr1.0e-5_7distractors_maxstep8192_again
Epoch: 0, Prediction Accuracy: 12.54, Saved to Path: Output/accGrad1_mbart_BTen+zh_lr1.0e-5_7distractors_maxstep8192_again
08-24-21 08:41:19 - epoch 0 | global step 520 | mode train | loss 2.0995 | accuracy 7.5 | mean_length 64
08-24-21 08:41:47 - epoch 0 | global step 530 | mode train | loss 2.0725 | accuracy 15.0 | mean_length 64
08-24-21 08:42:15 - epoch 0 | global step 540 | mode train | loss 2.1072 | accuracy 3.75 | mean_length 64
08-24-21 08:42:45 - epoch 0 | global step 550 | mode train | loss 2.0864 | accuracy 11.25 | mean_length 64
08-24-21 08:43:15 - epoch 0 | global step 560 | mode train | loss 2.0796 | accuracy 13.75 | mean_length 64
08-24-21 08:43:43 - epoch 0 | global step 570 | mode train | loss 2.0879 | accuracy 7.5 | mean_length 64
08-24-21 08:44:11 - epoch 0 | global step 580 | mode train | loss 2.0822 | accuracy 3.75 | mean_length 64
08-24-21 08:44:40 - epoch 0 | global step 590 | mode train | loss 2.0829 | accuracy 13.75 | mean_length 64
08-24-21 08:45:07 - epoch 0 | global step 600 | mode train | loss 2.087 | accuracy 12.5 | mean_length 64
08-24-21 08:45:36 - epoch 0 | global step 610 | mode train | loss 2.0872 | accuracy 8.75 | mean_length 64
08-24-21 08:46:04 - epoch 0 | global step 620 | mode train | loss 2.0764 | accuracy 18.75 | mean_length 64
08-24-21 08:46:33 - epoch 0 | global step 630 | mode train | loss 2.0999 | accuracy 12.5 | mean_length 64
08-24-21 08:47:00 - epoch 0 | global step 640 | mode train | loss 2.0837 | accuracy 13.75 | mean_length 64
08-24-21 08:47:28 - epoch 0 | global step 650 | mode train | loss 2.0718 | accuracy 12.5 | mean_length 64
08-24-21 08:47:55 - epoch 0 | global step 660 | mode train | loss 2.077 | accuracy 17.5 | mean_length 64
08-24-21 08:48:23 - epoch 0 | global step 670 | mode train | loss 2.0826 | accuracy 13.75 | mean_length 64
08-24-21 08:48:50 - epoch 0 | global step 680 | mode train | loss 2.0713 | accuracy 18.75 | mean_length 64
08-24-21 08:49:18 - epoch 0 | global step 690 | mode train | loss 2.0756 | accuracy 10.0 | mean_length 64
08-24-21 08:49:46 - epoch 0 | global step 700 | mode train | loss 2.0836 | accuracy 10.0 | mean_length 64
08-24-21 08:50:13 - epoch 0 | global step 710 | mode train | loss 2.0766 | accuracy 13.75 | mean_length 64
08-24-21 08:50:42 - epoch 0 | global step 720 | mode train | loss 2.0789 | accuracy 12.5 | mean_length 64
08-24-21 08:51:10 - epoch 0 | global step 730 | mode train | loss 2.0937 | accuracy 10.0 | mean_length 64
08-24-21 08:51:38 - epoch 0 | global step 740 | mode train | loss 2.0745 | accuracy 16.25 | mean_length 64
08-24-21 08:52:05 - epoch 0 | global step 750 | mode train | loss 2.0857 | accuracy 11.25 | mean_length 64
08-24-21 08:52:33 - epoch 0 | global step 760 | mode train | loss 2.0836 | accuracy 11.25 | mean_length 64
08-24-21 08:53:00 - epoch 0 | global step 770 | mode train | loss 2.0762 | accuracy 12.5 | mean_length 64
08-24-21 08:53:28 - epoch 0 | global step 780 | mode train | loss 2.0755 | accuracy 15.0 | mean_length 64
08-24-21 08:53:55 - epoch 0 | global step 790 | mode train | loss 2.0797 | accuracy 11.25 | mean_length 64
08-24-21 08:54:23 - epoch 0 | global step 800 | mode train | loss 2.0777 | accuracy 12.5 | mean_length 64
08-24-21 08:54:50 - epoch 0 | global step 810 | mode train | loss 2.0765 | accuracy 15.0 | mean_length 64
08-24-21 08:55:18 - epoch 0 | global step 820 | mode train | loss 2.0746 | accuracy 13.75 | mean_length 64
08-24-21 08:55:45 - epoch 0 | global step 830 | mode train | loss 2.0829 | accuracy 10.0 | mean_length 64
08-24-21 08:56:13 - epoch 0 | global step 840 | mode train | loss 2.0807 | accuracy 11.25 | mean_length 64
08-24-21 08:56:42 - epoch 0 | global step 850 | mode train | loss 2.0736 | accuracy 15.0 | mean_length 64
08-24-21 08:57:09 - epoch 0 | global step 860 | mode train | loss 2.0732 | accuracy 20.0 | mean_length 64
