==========================================
SLURM_JOB_ID = 5696372
SLURM_JOB_NODELIST = d14-18
TMPDIR = /tmp/SLURM_5696372
==========================================
/home1/zliu9986/communication-translation
08-27-21 15:56:29 - Dataset Loaded
08-27-21 15:56:29 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=2, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=7.5e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart-large-cc25', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad2_mbart_noBT_lr7.5e-6_7distractors_maxstep8192_seed42', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-27-21 15:56:57 - epoch 0 | global step 0 | mode train | loss 2.7459 | accuracy 12.5 | mean_length 52.5
08-27-21 16:08:18 - epoch 0 | global step 0 | mode validation | loss 3.3243 | accuracy 12.34 | mean_length 63.292
08-27-21 16:08:18 - Saving model to Output/accGrad2_mbart_noBT_lr7.5e-6_7distractors_maxstep8192_seed42
Epoch: 0, Prediction Accuracy: 12.34, Saved to Path: Output/accGrad2_mbart_noBT_lr7.5e-6_7distractors_maxstep8192_seed42
08-27-21 16:09:21 - epoch 0 | global step 10 | mode train | loss 2.8061 | accuracy 12.5 | mean_length 58.8684
08-27-21 16:09:24 - epoch 0 | global step 10 | mode train | loss 2.5359 | accuracy 37.5 | mean_length 60.125
08-27-21 16:10:20 - epoch 0 | global step 20 | mode train | loss 2.9163 | accuracy 13.1579 | mean_length 62.9737
08-27-21 16:10:23 - epoch 0 | global step 20 | mode train | loss 2.1053 | accuracy 12.5 | mean_length 64
08-27-21 16:11:19 - epoch 0 | global step 30 | mode train | loss 2.5318 | accuracy 11.8421 | mean_length 62.0395
08-27-21 16:11:22 - epoch 0 | global step 30 | mode train | loss 2.2949 | accuracy 12.5 | mean_length 64
08-27-21 16:12:18 - epoch 0 | global step 40 | mode train | loss 2.6287 | accuracy 13.1579 | mean_length 63.5921
08-27-21 16:12:21 - epoch 0 | global step 40 | mode train | loss 2.3492 | accuracy 12.5 | mean_length 64
08-27-21 16:13:17 - epoch 0 | global step 50 | mode train | loss 2.6178 | accuracy 7.8947 | mean_length 63.9211
08-27-21 16:13:20 - epoch 0 | global step 50 | mode train | loss 2.2451 | accuracy 0.0 | mean_length 64
08-27-21 16:14:15 - epoch 0 | global step 60 | mode train | loss 2.4001 | accuracy 16.4474 | mean_length 63.5395
