==========================================
SLURM_JOB_ID = 5708504
SLURM_JOB_NODELIST = d13-10
TMPDIR = /tmp/SLURM_5708504
==========================================
/home1/zliu9986/communication-translation
08-29-21 00:02:50 - Dataset Loaded
08-29-21 00:02:50 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=2, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=8e-06, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart-large-cc25', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/accGrad2_mbart_noBT_lr8.0e-6_7distractors_maxstep8192_seed42', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-29-21 00:03:18 - epoch 0 | global step 0 | mode train | loss 2.7459 | accuracy 12.5 | mean_length 52.5
08-29-21 00:13:04 - epoch 0 | global step 0 | mode validation | loss 3.3243 | accuracy 12.34 | mean_length 63.292
08-29-21 00:13:04 - Saving model to Output/accGrad2_mbart_noBT_lr8.0e-6_7distractors_maxstep8192_seed42
Epoch: 0, Prediction Accuracy: 12.34, Saved to Path: Output/accGrad2_mbart_noBT_lr8.0e-6_7distractors_maxstep8192_seed42
08-29-21 00:14:10 - epoch 0 | global step 10 | mode train | loss 2.6092 | accuracy 11.8421 | mean_length 56.3355
08-29-21 00:14:13 - epoch 0 | global step 10 | mode train | loss 1.9269 | accuracy 37.5 | mean_length 60.5
08-29-21 00:15:07 - epoch 0 | global step 20 | mode train | loss 2.2974 | accuracy 13.8158 | mean_length 61.3355
08-29-21 00:15:10 - epoch 0 | global step 20 | mode train | loss 1.9724 | accuracy 12.5 | mean_length 64
08-29-21 00:16:03 - epoch 0 | global step 30 | mode train | loss 2.1345 | accuracy 12.5 | mean_length 63.0789
08-29-21 00:16:05 - epoch 0 | global step 30 | mode train | loss 2.0893 | accuracy 0.0 | mean_length 64
08-29-21 00:16:59 - epoch 0 | global step 40 | mode train | loss 2.1234 | accuracy 12.5 | mean_length 64
08-29-21 00:17:01 - epoch 0 | global step 40 | mode train | loss 2.0934 | accuracy 12.5 | mean_length 64
08-29-21 00:17:54 - epoch 0 | global step 50 | mode train | loss 2.123 | accuracy 10.5263 | mean_length 63.6711
08-29-21 00:17:57 - epoch 0 | global step 50 | mode train | loss 2.0889 | accuracy 0.0 | mean_length 64
08-29-21 00:18:49 - epoch 0 | global step 60 | mode train | loss 2.0854 | accuracy 17.1053 | mean_length 64
08-29-21 00:18:52 - epoch 0 | global step 60 | mode train | loss 2.1354 | accuracy 0.0 | mean_length 64
08-29-21 00:19:45 - epoch 0 | global step 70 | mode train | loss 2.0813 | accuracy 13.1579 | mean_length 63.7237
08-29-21 00:19:48 - epoch 0 | global step 70 | mode train | loss 2.1242 | accuracy 25.0 | mean_length 64
08-29-21 00:20:43 - epoch 0 | global step 80 | mode train | loss 2.0851 | accuracy 18.4211 | mean_length 64
08-29-21 00:20:46 - epoch 0 | global step 80 | mode train | loss 1.9907 | accuracy 12.5 | mean_length 64
08-29-21 00:21:38 - epoch 0 | global step 90 | mode train | loss 2.1233 | accuracy 9.2105 | mean_length 62.8618
08-29-21 00:21:41 - epoch 0 | global step 90 | mode train | loss 2.0571 | accuracy 25.0 | mean_length 64
