==========================================
SLURM_JOB_ID = 5634915
SLURM_JOB_NODELIST = d14-15
TMPDIR = /tmp/SLURM_5634915
==========================================
/home1/zliu9986/communication-translation
08-24-21 07:53:31 - Dataset Loaded
08-24-21 07:53:31 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=5, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, gradient_accumulation_steps=2, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=1e-05, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart_bt_en+zh_lr25e-6', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/mbart_BTen+zh_lr1.0e-5_7distractors_maxstep8192_again', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=512, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-24-21 07:53:58 - epoch 0 | global step 0 | mode train | loss 2.743 | accuracy 12.5 | mean_length 36.25
08-24-21 08:03:42 - epoch 0 | global step 0 | mode validation | loss 2.7588 | accuracy 12.7 | mean_length 48.111
08-24-21 08:03:42 - Saving model to Output/mbart_BTen+zh_lr1.0e-5_7distractors_maxstep8192_again
Epoch: 0, Prediction Accuracy: 12.7, Saved to Path: Output/mbart_BTen+zh_lr1.0e-5_7distractors_maxstep8192_again
08-24-21 08:04:45 - epoch 0 | global step 10 | mode train | loss 2.342 | accuracy 13.1579 | mean_length 48.6118
08-24-21 08:04:47 - epoch 0 | global step 10 | mode train | loss 2.1453 | accuracy 25.0 | mean_length 64
08-24-21 08:05:41 - epoch 0 | global step 20 | mode train | loss 2.1987 | accuracy 10.5263 | mean_length 63.4671
08-24-21 08:05:44 - epoch 0 | global step 20 | mode train | loss 1.911 | accuracy 25.0 | mean_length 64
08-24-21 08:06:37 - epoch 0 | global step 30 | mode train | loss 2.1051 | accuracy 12.5 | mean_length 64
08-24-21 08:06:40 - epoch 0 | global step 30 | mode train | loss 2.1011 | accuracy 0.0 | mean_length 64
08-24-21 08:07:32 - epoch 0 | global step 40 | mode train | loss 2.1013 | accuracy 12.5 | mean_length 64
08-24-21 08:07:34 - epoch 0 | global step 40 | mode train | loss 2.1024 | accuracy 12.5 | mean_length 64
08-24-21 08:08:27 - epoch 0 | global step 50 | mode train | loss 2.0898 | accuracy 8.5526 | mean_length 64
08-24-21 08:08:30 - epoch 0 | global step 50 | mode train | loss 2.0817 | accuracy 12.5 | mean_length 64
08-24-21 08:09:23 - epoch 0 | global step 60 | mode train | loss 2.0815 | accuracy 14.4737 | mean_length 64
08-24-21 08:09:25 - epoch 0 | global step 60 | mode train | loss 2.0953 | accuracy 0.0 | mean_length 64
08-24-21 08:10:18 - epoch 0 | global step 70 | mode train | loss 2.0663 | accuracy 12.5 | mean_length 64
08-24-21 08:10:20 - epoch 0 | global step 70 | mode train | loss 2.1242 | accuracy 12.5 | mean_length 64
08-24-21 08:11:13 - epoch 0 | global step 80 | mode train | loss 2.0563 | accuracy 15.7895 | mean_length 64
08-24-21 08:11:15 - epoch 0 | global step 80 | mode train | loss 2.0201 | accuracy 12.5 | mean_length 64
08-24-21 08:12:08 - epoch 0 | global step 90 | mode train | loss 2.0712 | accuracy 13.1579 | mean_length 64
08-24-21 08:12:11 - epoch 0 | global step 90 | mode train | loss 1.9892 | accuracy 25.0 | mean_length 64
08-24-21 08:13:04 - epoch 0 | global step 100 | mode train | loss 2.0139 | accuracy 17.1053 | mean_length 64
08-24-21 08:13:07 - epoch 0 | global step 100 | mode train | loss 2.1546 | accuracy 0.0 | mean_length 64
08-24-21 08:14:00 - epoch 0 | global step 110 | mode train | loss 1.9538 | accuracy 20.3947 | mean_length 64
08-24-21 08:14:02 - epoch 0 | global step 110 | mode train | loss 1.7207 | accuracy 37.5 | mean_length 64
08-24-21 08:14:54 - epoch 0 | global step 120 | mode train | loss 2.0225 | accuracy 13.1579 | mean_length 64
08-24-21 08:14:57 - epoch 0 | global step 120 | mode train | loss 2.056 | accuracy 25.0 | mean_length 64
08-24-21 08:15:49 - epoch 0 | global step 130 | mode train | loss 2.0787 | accuracy 11.8421 | mean_length 64
08-24-21 08:15:52 - epoch 0 | global step 130 | mode train | loss 2.1229 | accuracy 0.0 | mean_length 64
08-24-21 08:16:45 - epoch 0 | global step 140 | mode train | loss 2.0843 | accuracy 16.4474 | mean_length 64
08-24-21 08:16:48 - epoch 0 | global step 140 | mode train | loss 2.077 | accuracy 12.5 | mean_length 64
08-24-21 08:17:41 - epoch 0 | global step 150 | mode train | loss 2.0918 | accuracy 11.8421 | mean_length 64
08-24-21 08:17:43 - epoch 0 | global step 150 | mode train | loss 2.0794 | accuracy 12.5 | mean_length 64
08-24-21 08:18:36 - epoch 0 | global step 160 | mode train | loss 2.0852 | accuracy 17.7632 | mean_length 64
08-24-21 08:18:39 - epoch 0 | global step 160 | mode train | loss 2.0817 | accuracy 12.5 | mean_length 64
08-24-21 08:19:31 - epoch 0 | global step 170 | mode train | loss 2.0888 | accuracy 13.1579 | mean_length 64
08-24-21 08:19:34 - epoch 0 | global step 170 | mode train | loss 2.0254 | accuracy 50.0 | mean_length 64
08-24-21 08:20:27 - epoch 0 | global step 180 | mode train | loss 2.0878 | accuracy 16.4474 | mean_length 64
08-24-21 08:20:30 - epoch 0 | global step 180 | mode train | loss 2.0597 | accuracy 12.5 | mean_length 64
08-24-21 08:21:22 - epoch 0 | global step 190 | mode train | loss 2.0946 | accuracy 11.8421 | mean_length 64
08-24-21 08:21:25 - epoch 0 | global step 190 | mode train | loss 2.0815 | accuracy 0.0 | mean_length 64
08-24-21 08:22:17 - epoch 0 | global step 200 | mode train | loss 2.0867 | accuracy 10.5263 | mean_length 64
08-24-21 08:22:20 - epoch 0 | global step 200 | mode train | loss 2.143 | accuracy 0.0 | mean_length 64
08-24-21 08:23:12 - epoch 0 | global step 210 | mode train | loss 2.0826 | accuracy 16.4474 | mean_length 64
08-24-21 08:23:15 - epoch 0 | global step 210 | mode train | loss 2.0997 | accuracy 0.0 | mean_length 64
08-24-21 08:24:07 - epoch 0 | global step 220 | mode train | loss 2.0817 | accuracy 11.8421 | mean_length 64
08-24-21 08:24:10 - epoch 0 | global step 220 | mode train | loss 2.0626 | accuracy 12.5 | mean_length 64
08-24-21 08:25:03 - epoch 0 | global step 230 | mode train | loss 2.0764 | accuracy 10.5263 | mean_length 64
08-24-21 08:25:06 - epoch 0 | global step 230 | mode train | loss 2.0797 | accuracy 12.5 | mean_length 64
08-24-21 08:25:59 - epoch 0 | global step 240 | mode train | loss 2.0884 | accuracy 9.2105 | mean_length 64
08-24-21 08:26:02 - epoch 0 | global step 240 | mode train | loss 2.1215 | accuracy 0.0 | mean_length 64
08-24-21 08:26:55 - epoch 0 | global step 250 | mode train | loss 2.0829 | accuracy 9.8684 | mean_length 64
08-24-21 08:26:58 - epoch 0 | global step 250 | mode train | loss 2.0373 | accuracy 25.0 | mean_length 64
08-24-21 08:27:51 - epoch 0 | global step 260 | mode train | loss 2.0788 | accuracy 13.8158 | mean_length 64
08-24-21 08:27:54 - epoch 0 | global step 260 | mode train | loss 2.0573 | accuracy 25.0 | mean_length 64
08-24-21 08:28:47 - epoch 0 | global step 270 | mode train | loss 2.0916 | accuracy 10.5263 | mean_length 64
08-24-21 08:28:50 - epoch 0 | global step 270 | mode train | loss 2.137 | accuracy 0.0 | mean_length 64
08-24-21 08:29:42 - epoch 0 | global step 280 | mode train | loss 2.0811 | accuracy 13.1579 | mean_length 64
08-24-21 08:29:45 - epoch 0 | global step 280 | mode train | loss 2.0921 | accuracy 12.5 | mean_length 64
08-24-21 08:30:37 - epoch 0 | global step 290 | mode train | loss 2.0848 | accuracy 11.8421 | mean_length 64
08-24-21 08:30:40 - epoch 0 | global step 290 | mode train | loss 2.108 | accuracy 12.5 | mean_length 64
08-24-21 08:31:33 - epoch 0 | global step 300 | mode train | loss 2.0845 | accuracy 9.8684 | mean_length 64
08-24-21 08:31:36 - epoch 0 | global step 300 | mode train | loss 2.0541 | accuracy 37.5 | mean_length 64
08-24-21 08:32:29 - epoch 0 | global step 310 | mode train | loss 2.0806 | accuracy 13.8158 | mean_length 64
08-24-21 08:32:32 - epoch 0 | global step 310 | mode train | loss 2.1091 | accuracy 0.0 | mean_length 64
08-24-21 08:33:25 - epoch 0 | global step 320 | mode train | loss 2.0917 | accuracy 10.5263 | mean_length 64
08-24-21 08:33:28 - epoch 0 | global step 320 | mode train | loss 2.0423 | accuracy 25.0 | mean_length 64
08-24-21 08:34:21 - epoch 0 | global step 330 | mode train | loss 2.0795 | accuracy 14.4737 | mean_length 64
08-24-21 08:34:24 - epoch 0 | global step 330 | mode train | loss 2.0717 | accuracy 25.0 | mean_length 64
08-24-21 08:35:16 - epoch 0 | global step 340 | mode train | loss 2.0785 | accuracy 13.1579 | mean_length 64
08-24-21 08:35:19 - epoch 0 | global step 340 | mode train | loss 2.0882 | accuracy 12.5 | mean_length 64
08-24-21 08:36:12 - epoch 0 | global step 350 | mode train | loss 2.0783 | accuracy 12.5 | mean_length 64
08-24-21 08:36:15 - epoch 0 | global step 350 | mode train | loss 2.0889 | accuracy 0.0 | mean_length 64
