==========================================
SLURM_JOB_ID = 5527339
SLURM_JOB_NODELIST = d13-03
TMPDIR = /tmp/SLURM_5527339
==========================================
/home1/zliu9986/communication-translation
08-16-21 14:09:20 - Dataset Loaded
08-16-21 14:09:20 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=12, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=1e-05, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart_bt_en+zh_lr25e-6', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/mbart_BTen+zh_lr1e-5_7distractors', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=100, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-16-21 14:10:16 - epoch 0 | global step 10 | mode train | loss 2.3829 | accuracy 12.5 | mean_length 56.325
08-16-21 14:10:44 - epoch 0 | global step 20 | mode train | loss 2.1601 | accuracy 12.5 | mean_length 63.0375
08-16-21 14:11:12 - epoch 0 | global step 30 | mode train | loss 2.1994 | accuracy 12.5 | mean_length 62.7
08-16-21 14:11:41 - epoch 0 | global step 40 | mode train | loss 2.1424 | accuracy 11.25 | mean_length 63.5125
08-16-21 14:12:09 - epoch 0 | global step 50 | mode train | loss 2.06 | accuracy 18.75 | mean_length 63.7375
08-16-21 14:12:37 - epoch 0 | global step 60 | mode train | loss 2.1088 | accuracy 8.75 | mean_length 63.7
08-16-21 14:13:04 - epoch 0 | global step 70 | mode train | loss 2.0942 | accuracy 6.25 | mean_length 63.9
08-16-21 14:13:32 - epoch 0 | global step 80 | mode train | loss 2.0932 | accuracy 11.25 | mean_length 64
08-16-21 14:14:00 - epoch 0 | global step 90 | mode train | loss 2.0975 | accuracy 11.25 | mean_length 63.95
08-16-21 14:14:27 - epoch 0 | global step 100 | mode train | loss 2.1024 | accuracy 8.75 | mean_length 63.5125
08-16-21 14:24:05 - epoch 0 | global step 100 | mode validation | loss 2.0819 | accuracy 12.5 | mean_length 63.9562
08-16-21 14:24:05 - Saving model to Output/mbart_BTen+zh_lr1e-5_7distractors
Epoch: 0, Prediction Accuracy: 12.5, Saved to Path: Output/mbart_BTen+zh_lr1e-5_7distractors
08-16-21 14:24:44 - epoch 0 | global step 110 | mode train | loss 2.063 | accuracy 15.0 | mean_length 64
08-16-21 14:25:12 - epoch 0 | global step 120 | mode train | loss 2.0799 | accuracy 17.5 | mean_length 63.9375
08-16-21 14:25:39 - epoch 0 | global step 130 | mode train | loss 2.0706 | accuracy 15.0 | mean_length 63.8
08-16-21 14:26:07 - epoch 0 | global step 140 | mode train | loss 2.0816 | accuracy 11.25 | mean_length 64
08-16-21 14:26:35 - epoch 0 | global step 150 | mode train | loss 2.1061 | accuracy 11.25 | mean_length 64
08-16-21 14:27:02 - epoch 0 | global step 160 | mode train | loss 2.0618 | accuracy 20.0 | mean_length 64
08-16-21 14:27:30 - epoch 0 | global step 170 | mode train | loss 2.0919 | accuracy 15.0 | mean_length 64
08-16-21 14:27:59 - epoch 0 | global step 180 | mode train | loss 2.0825 | accuracy 11.25 | mean_length 64
08-16-21 14:28:34 - epoch 0 | global step 190 | mode train | loss 2.0358 | accuracy 26.25 | mean_length 64
08-16-21 14:29:02 - epoch 0 | global step 200 | mode train | loss 2.0756 | accuracy 11.25 | mean_length 64
08-16-21 14:38:39 - epoch 0 | global step 200 | mode validation | loss 2.077 | accuracy 14.1 | mean_length 64
08-16-21 14:38:39 - Saving model to Output/mbart_BTen+zh_lr1e-5_7distractors
Epoch: 0, Prediction Accuracy: 14.1, Saved to Path: Output/mbart_BTen+zh_lr1e-5_7distractors
08-16-21 14:39:19 - epoch 0 | global step 210 | mode train | loss 2.0838 | accuracy 8.75 | mean_length 64
08-16-21 14:39:47 - epoch 0 | global step 220 | mode train | loss 2.0566 | accuracy 20.0 | mean_length 64
08-16-21 14:40:15 - epoch 0 | global step 230 | mode train | loss 2.0701 | accuracy 15.0 | mean_length 64
08-16-21 14:40:43 - epoch 0 | global step 240 | mode train | loss 2.0544 | accuracy 22.5 | mean_length 64
08-16-21 14:41:11 - epoch 0 | global step 250 | mode train | loss 2.0308 | accuracy 20.0 | mean_length 64
08-16-21 14:41:39 - epoch 0 | global step 260 | mode train | loss 2.0911 | accuracy 10.0 | mean_length 64
08-16-21 14:42:07 - epoch 0 | global step 270 | mode train | loss 2.0783 | accuracy 12.5 | mean_length 63.6125
08-16-21 14:42:36 - epoch 0 | global step 280 | mode train | loss 2.068 | accuracy 15.0 | mean_length 64
08-16-21 14:43:03 - epoch 0 | global step 290 | mode train | loss 2.0911 | accuracy 12.5 | mean_length 64
08-16-21 14:43:31 - epoch 0 | global step 300 | mode train | loss 2.0577 | accuracy 11.25 | mean_length 64
08-16-21 14:53:06 - epoch 0 | global step 300 | mode validation | loss 2.054 | accuracy 16.94 | mean_length 63.9898
08-16-21 14:53:06 - Saving model to Output/mbart_BTen+zh_lr1e-5_7distractors
Epoch: 0, Prediction Accuracy: 16.94, Saved to Path: Output/mbart_BTen+zh_lr1e-5_7distractors
08-16-21 14:53:45 - epoch 0 | global step 310 | mode train | loss 2.0776 | accuracy 15.0 | mean_length 64
08-16-21 14:54:13 - epoch 0 | global step 320 | mode train | loss 2.0489 | accuracy 20.0 | mean_length 64
08-16-21 14:54:41 - epoch 0 | global step 330 | mode train | loss 2.0691 | accuracy 17.5 | mean_length 64
08-16-21 14:55:09 - epoch 0 | global step 340 | mode train | loss 2.0876 | accuracy 8.75 | mean_length 64
08-16-21 14:55:38 - epoch 0 | global step 350 | mode train | loss 2.0652 | accuracy 13.75 | mean_length 64
08-16-21 14:56:06 - epoch 0 | global step 360 | mode train | loss 2.0349 | accuracy 21.25 | mean_length 64
08-16-21 14:56:33 - epoch 0 | global step 370 | mode train | loss 2.0099 | accuracy 15.0 | mean_length 64
08-16-21 14:57:01 - epoch 0 | global step 380 | mode train | loss 1.9597 | accuracy 21.25 | mean_length 64
08-16-21 14:57:28 - epoch 0 | global step 390 | mode train | loss 2.0646 | accuracy 11.25 | mean_length 64
08-16-21 14:57:56 - epoch 0 | global step 400 | mode train | loss 1.991 | accuracy 21.25 | mean_length 62.75
08-16-21 15:07:44 - epoch 0 | global step 400 | mode validation | loss 1.9268 | accuracy 25.0 | mean_length 63.5726
