==========================================
SLURM_JOB_ID = 5534555
SLURM_JOB_NODELIST = d14-12
TMPDIR = /tmp/SLURM_5534555
==========================================
/home1/zliu9986/communication-translation
08-16-21 16:02:50 - Dataset Loaded
08-16-21 16:02:50 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=8, beam_width=12, bidirectional=False, config='Configs/mbart_ec.yml', cpu=False, decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, fix_bhd=False, fix_spk=False, grad_clip=1.0, hard=False, has_vocab_constraint=False, hidden_dim=512, image_dim=2048, lr=2e-05, max_global_step=8192, max_seq_length=64, mode='emergent_communication', model_name='Models/mbart-large-cc25', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, num_distractors_train=7, num_distractors_valid=7, num_games=30, num_layers=1, output_dir='Output/mbart_noBT_lr2e-5_7distractors', print_every=10, save_output_txt=True, save_pretrain_seperately=True, seed=42, source_lang='en_XX', source_lang_vocab_constrain_file='/projects/unmt/communication-translation/en_cc_tokenID2count_dict.cc25.json', stats_to_print=['loss', 'accuracy', 'caption generation loss', 'image selection loss', 'mean_length'], target_acc=85.0, target_lang='zh_CN', target_lang_vocab_constrain_file='/projects/unmt/communication-translation/zh-Hans_cc_tokenID2count_dict.cc25.json', temp=1.0, temperature=1.0, train_images='./Data/ec_finetuning/images_train', two_ffwd=False, unit_norm=False, valid_every=100, valid_images='./Data/ec_finetuning/images_val', vocab_size=4035)
Sharing visual system for each agent.
08-16-21 16:03:49 - epoch 0 | global step 10 | mode train | loss 2.4964 | accuracy 11.25 | mean_length 52.975
08-16-21 16:04:17 - epoch 0 | global step 20 | mode train | loss 2.2688 | accuracy 13.75 | mean_length 38.4
08-16-21 16:04:46 - epoch 0 | global step 30 | mode train | loss 2.2422 | accuracy 11.25 | mean_length 60.5625
08-16-21 16:05:15 - epoch 0 | global step 40 | mode train | loss 2.3033 | accuracy 7.5 | mean_length 63.3625
08-16-21 16:05:43 - epoch 0 | global step 50 | mode train | loss 2.2759 | accuracy 20.0 | mean_length 62.8875
08-16-21 16:06:11 - epoch 0 | global step 60 | mode train | loss 2.2788 | accuracy 8.75 | mean_length 63.65
08-16-21 16:06:39 - epoch 0 | global step 70 | mode train | loss 2.3297 | accuracy 11.25 | mean_length 63.5375
08-16-21 16:07:07 - epoch 0 | global step 80 | mode train | loss 2.2756 | accuracy 7.5 | mean_length 64
08-16-21 16:07:35 - epoch 0 | global step 90 | mode train | loss 2.2439 | accuracy 8.75 | mean_length 64
08-16-21 16:08:04 - epoch 0 | global step 100 | mode train | loss 2.1717 | accuracy 11.25 | mean_length 64
08-16-21 16:17:57 - epoch 0 | global step 100 | mode validation | loss 2.4486 | accuracy 12.78 | mean_length 64
08-16-21 16:17:57 - Saving model to Output/mbart_noBT_lr2e-5_7distractors
Epoch: 0, Prediction Accuracy: 12.78, Saved to Path: Output/mbart_noBT_lr2e-5_7distractors
08-16-21 16:18:36 - epoch 0 | global step 110 | mode train | loss 2.0828 | accuracy 12.5 | mean_length 64
08-16-21 16:19:04 - epoch 0 | global step 120 | mode train | loss 2.1072 | accuracy 16.25 | mean_length 64
